Runs,Time spent,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date,Runs_scored
1,6,7,0,0,14.28,4,caught,4,Test , New Zealand,Wankhede,1-Nov-24,1
5,25,12,0,0,41.66,4,caught,1,Test , Australia,Perth,22-Nov-24,5
100,226,143,8,2,69.93,4,not out,3,Test , Australia,Perth,22-Nov-24,100
7,8,8,1,0,87.5,4,caught,1,Test , Australia,Adelaide,6-Dec-24,7
11,31,21,1,0,52.38,4,caught,3,Test , Australia,Adelaide,6-Dec-24,11
3,25,16,0,0,18.75,4,caught,2,Test , Australia,Brisbane,14-Dec-24,3
36,125,86,4,0,41.86,4,caught,2,Test , Australia,Melbourne,26-Dec-24,36
5,40,29,0,0,17.24,4,caught,4,Test , Australia,Melbourne,26-Dec-24,5
17,101,69,0,0,24.63,4,caught,1,Test , Australia,Sydney,3-Jan-25,17
6,14,12,1,0,50,4,caught,3,Test , Australia,Sydney,3-Jan-25,6
5,12,8,1,0,62.5,3,caught,2,ODI , England,Cuttack,9-Feb-25,5
52,74,55,7,1,94.54,3,caught,1,ODI , England,Ahmedabad,12-Feb-25,52
22,,38,1,0,57.89,3,caught,2,ODI , Bangladesh,Dubai (DICS),20-Feb-25,22
100,151,111,7,0,90.09,3,not out,2,ODI , Pakistan,Dubai (DICS),23-Feb-25,100
11,18,14,2,0,78.57,3,caught,1,ODI , New Zealand,Dubai (DICS),2-Mar-25,11
84,135,98,5,0,85.71,3,caught,2,ODI , Australia,Dubai (DICS),4-Mar-25,84
1,4,2,0,0,50,3,lbw,2,ODI , New Zealand,Dubai (DICS),9-Mar-25,1
