Runs,Time spent,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date,Runs_scored
16,40,36,1,0,44.44,4,caught,1,ODI , England,Lord's,11-Sep-11,16
107,102,93,9,1,115.05,4,hit wicket,1,ODI , England,Cardiff,16-Sep-11,107
37,70,63,0,0,58.73,4,caught,1,ODI , England,Hyderabad,14-Oct-11,37
112,134,98,16,0,114.28,4,not out,2,ODI , England,Delhi,17-Oct-11,112
35,42,30,5,0,116.66,4,lbw,2,ODI , England,Mohali,20-Oct-11,35
86,,99,11,0,86.86,4,not out,2,ODI , England,Wankhede,23-Oct-11,86
0,5,5,0,0,0,3,bowled,1,ODI , England,Eden Gardens,25-Oct-11,0
15,21,16,3,0,93.75,3,caught,1,T20I , England,Eden Gardens,29-Oct-11,15
52,154,111,5,0,46.84,6,caught,2,Test , West Indies,Wankhede,22-Nov-11,52
63,136,114,3,1,55.26,6,caught,4,Test , West Indies,Wankhede,22-Nov-11,63
3,13,6,0,0,50,4,bowled,2,ODI , West Indies,Cuttack,29-Nov-11,3
117,154,123,14,0,95.12,4,caught,2,ODI , West Indies,Visakhapatnam,2-Dec-11,117
20,21,30,3,0,66.66,4,lbw,2,ODI , West Indies,Ahmedabad,5-Dec-11,20
23,15,11,3,0,209.09,6,not out,1,ODI , West Indies,Indore,8-Dec-11,23
80,99,85,5,0,94.11,5,caught,1,ODI , West Indies,Chennai,11-Dec-11,80
11,28,21,1,0,52.38,7,caught,2,Test , Australia,Melbourne,26-Dec-11,11
0,3,1,0,0,0,6,lbw,4,Test , Australia,Melbourne,26-Dec-11,0
23,50,41,3,0,56.09,6,caught,1,Test , Australia,Sydney,3-Jan-12,23
9,35,24,2,0,37.5,6,lbw,3,Test , Australia,Sydney,3-Jan-12,9
44,107,81,6,0,54.32,6,caught,1,Test , Australia,W.A.C.A,13-Jan-12,44
75,191,136,9,0,55.14,6,caught,3,Test , Australia,W.A.C.A,13-Jan-12,75
116,237,213,11,1,54.46,6,lbw,2,Test , Australia,Adelaide,24-Jan-12,116
22,96,62,2,0,35.48,6,run out,4,Test , Australia,Adelaide,24-Jan-12,22
22,30,21,0,1,104.76,3,caught,2,T20I , Australia,Sydney,1-Feb-12,22
31,29,24,3,0,129.16,3,caught,2,T20I , Australia,Melbourne,3-Feb-12,31
31,30,34,3,0,91.17,3,caught,2,ODI , Australia,Melbourne,5-Feb-12,31
77,156,94,8,1,81.91,3,run out,2,ODI , Sri Lanka,W.A.C.A,8-Feb-12,77
18,41,28,1,0,64.28,3,caught,2,ODI , Australia,Adelaide,12-Feb-12,18
15,32,25,1,0,60,3,lbw,2,ODI , Sri Lanka,Adelaide,14-Feb-12,15
12,44,25,0,0,48,3,caught,2,ODI , Australia,Brisbane,19-Feb-12,12
66,116,83,2,0,79.51,4,caught,2,ODI , Sri Lanka,Brisbane,21-Feb-12,66
21,36,27,2,0,77.77,4,caught,2,ODI , Australia,Sydney,26-Feb-12,21
133,133,86,16,2,154.65,4,not out,2,ODI , Sri Lanka,Hobart,28-Feb-12,133
108,148,120,7,0,90,3,caught,1,ODI , Sri Lanka,Mirpur,13-Mar-12,108
66,126,82,5,0,80.48,3,bowled,1,ODI , Bangladesh,Mirpur,16-Mar-12,66
183,211,148,22,1,123.64,3,caught,2,ODI , Pakistan,Mirpur,18-Mar-12,183
106,158,113,9,0,93.8,3,caught,1,ODI , Sri Lanka,Hambantota,21-Jul-12,106
1,6,5,0,0,20,3,caught,1,ODI , Sri Lanka,Hambantota,24-Jul-12,1
38,80,65,2,0,58.46,3,caught,2,ODI , Sri Lanka,Colombo (RPS),28-Jul-12,38
128,187,119,12,1,107.56,3,not out,2,ODI , Sri Lanka,Colombo (RPS),31-Jul-12,128
23,42,35,2,0,65.71,3,lbw,1,ODI , Sri Lanka,Pallekele,4-Aug-12,23
68,65,48,11,1,141.66,3,caught,1,T20I , Sri Lanka,Pallekele,7-Aug-12,68
58,143,107,8,0,54.2,5,caught,1,Test , New Zealand,Hyderabad,23-Aug-12,58
103,284,193,14,1,53.36,5,lbw,2,Test , New Zealand,Bengaluru,31-Aug-12,103
51,130,82,9,0,62.19,5,not out,4,Test , New Zealand,Bengaluru,31-Aug-12,51
70,67,41,10,1,170.73,2,caught,2,T20I , New Zealand,Chennai,11-Sep-12,70
50,60,39,4,2,128.2,3,caught,1,T20I , Afghanistan,Colombo (RPS),19-Sep-12,50
40,33,32,6,0,125,3,caught,1,T20I , England,Colombo (RPS),23-Sep-12,40
15,18,13,2,0,115.38,3,caught,1,T20I , Australia,Colombo (RPS),28-Sep-12,15
78,61,61,8,2,127.86,3,not out,2,T20I , Pakistan,Colombo (RPS),30-Sep-12,78
2,5,6,0,0,33.33,3,caught,1,T20I , South Africa,Colombo (RPS),2-Oct-12,2
19,70,67,3,0,28.35,5,bowled,1,Test , England,Ahmedabad,15-Nov-12,19
14,17,21,3,0,66.66,3,not out,4,Test , England,Ahmedabad,15-Nov-12,14
19,65,55,3,0,34.54,5,caught,1,Test , England,Wankhede,23-Nov-12,19
7,16,13,1,0,53.84,5,caught,3,Test , England,Wankhede,23-Nov-12,7
6,31,24,1,0,25,5,caught,1,Test , England,Eden Gardens,5-Dec-12,6
20,86,60,3,0,33.33,5,caught,3,Test , England,Eden Gardens,5-Dec-12,20
103,356,295,11,0,34.91,5,lbw,2,Test , England,Nagpur,13-Dec-12,103
21,35,17,2,0,123.52,3,bowled,2,T20I , England,Pune,20-Dec-12,21
38,25,20,7,0,190,3,lbw,1,T20I , England,Wankhede,22-Dec-12,38
9,15,11,1,0,81.81,3,caught,1,T20I , Pakistan,Bengaluru,25-Dec-12,9
27,31,22,3,0,122.72,3,run out,1,T20I , Pakistan,Ahmedabad,28-Dec-12,27
0,9,5,0,0,0,3,bowled,1,ODI , Pakistan,Chennai,30-Dec-12,0
6,12,9,1,0,66.66,3,caught,2,ODI , Pakistan,Eden Gardens,3-Jan-13,6
7,25,17,1,0,41.17,3,caught,1,ODI , Pakistan,Delhi,6-Jan-13,7
15,45,22,1,0,68.18,3,caught,2,ODI , England,Rajkot,11-Jan-13,15
37,86,54,1,1,68.51,3,caught,1,ODI , England,Kochi,15-Jan-13,37
77,110,79,9,2,97.46,3,not out,2,ODI , England,Ranchi,19-Jan-13,77
26,44,33,3,0,78.78,3,caught,2,ODI , England,Mohali,23-Jan-13,26
0,1,1,0,0,0,3,caught,1,ODI , England,Dharamsala,27-Jan-13,0
107,266,206,15,1,51.94,5,caught,2,Test , Australia,Chennai,22-Feb-13,107
34,119,92,3,0,36.95,5,caught,2,Test , Australia,Hyderabad,2-Mar-13,34
67,157,129,7,1,51.93,5,not out,2,Test , Australia,Mohali,14-Mar-13,67
34,80,61,6,0,55.73,3,caught,4,Test , Australia,Mohali,14-Mar-13,34
1,11,8,0,0,12.5,3,lbw,2,Test , Australia,Delhi,22-Mar-13,1
41,76,60,4,0,68.33,3,lbw,4,Test , Australia,Delhi,22-Mar-13,41
31,46,41,2,0,75.6,3,caught,1,ODI , South Africa,Cardiff,6-Jun-13,31
22,18,18,4,0,122.22,3,bowled,2,ODI , West Indies,The Oval,11-Jun-13,22
22,36,27,3,0,81.48,3,not out,2,ODI , Pakistan,Birmingham,15-Jun-13,22
58,80,64,4,1,90.62,3,not out,2,ODI , Sri Lanka,Cardiff,20-Jun-13,58
43,66,34,4,1,126.47,3,caught,1,ODI , England,Birmingham,23-Jun-13,43
11,19,21,0,1,52.38,3,caught,1,ODI , West Indies,Kingston,30-Jun-13,11
2,6,5,0,0,40,4,caught,2,ODI , Sri Lanka,Kingston,2-Jul-13,2
102,120,83,13,2,122.89,3,caught,1,ODI , West Indies,Port of Spain,5-Jul-13,102
31,62,52,4,0,59.61,3,lbw,1,ODI , Sri Lanka,Port of Spain,9-Jul-13,31
2,8,5,0,0,40,3,caught,2,ODI , Sri Lanka,Port of Spain,11-Jul-13,2
115,133,108,13,1,106.48,3,caught,2,ODI , Zimbabwe,Harare,24-Jul-13,115
14,35,18,2,0,77.77,3,caught,1,ODI , Zimbabwe,Harare,26-Jul-13,14
68,128,88,5,1,77.27,3,not out,2,ODI , Zimbabwe,Harare,28-Jul-13,68
29,26,22,2,1,131.81,4,caught,2,T20I , Australia,Rajkot,10-Oct-13,29
61,121,85,6,0,71.76,3,lbw,2,ODI , Australia,Pune,13-Oct-13,61
100,82,52,8,7,192.3,3,not out,2,ODI , Australia,Jaipur,16-Oct-13,100
68,121,73,9,0,93.15,3,caught,1,ODI , Australia,Mohali,19-Oct-13,68
115,104,66,18,1,174.24,3,not out,2,ODI , Australia,Nagpur,30-Oct-13,115
0,4,3,0,0,0,3,run out,1,ODI , Australia,Bengaluru,2-Nov-13,0
3,13,5,0,0,60,5,caught,2,Test , West Indies,Eden Gardens,6-Nov-13,3
57,80,78,5,0,73.07,5,caught,2,Test , West Indies,Wankhede,14-Nov-13,57
86,120,84,9,2,102.38,3,caught,2,ODI , West Indies,Kochi,21-Nov-13,86
99,159,100,9,0,99,3,caught,1,ODI , West Indies,Visakhapatnam,24-Nov-13,99
19,19,18,3,0,105.55,3,caught,2,ODI , West Indies,Kanpur,27-Nov-13,19
31,41,35,5,0,88.57,3,caught,2,ODI , South Africa,Johannesburg,5-Dec-13,31
0,7,5,0,0,0,3,caught,2,ODI , South Africa,Durban,8-Dec-13,0
119,257,181,18,0,65.74,4,caught,1,Test , South Africa,Johannesburg,18-Dec-13,119
96,254,193,9,0,49.74,4,caught,3,Test , South Africa,Johannesburg,18-Dec-13,96
46,114,87,5,0,52.87,4,caught,1,Test , South Africa,Durban,26-Dec-13,46
11,26,27,1,0,40.74,4,caught,3,Test , South Africa,Durban,26-Dec-13,11
123,179,111,11,2,110.81,3,caught,2,ODI , New Zealand,Napier,19-Jan-14,123
78,88,65,7,2,120,3,caught,2,ODI , New Zealand,Hamilton,22-Jan-14,78
6,27,20,1,0,30,3,caught,2,ODI , New Zealand,Auckland,25-Jan-14,6
2,14,10,0,0,20,2,caught,1,ODI , New Zealand,Hamilton,28-Jan-14,2
82,129,78,7,3,105.12,3,caught,2,ODI , New Zealand,Wellington,31-Jan-14,82
4,17,13,1,0,30.76,4,caught,2,Test , New Zealand,Auckland,6-Feb-14,4
67,131,102,12,0,65.68,4,caught,4,Test , New Zealand,Auckland,6-Feb-14,67
38,131,93,4,0,40.86,5,caught,2,Test , New Zealand,Wellington,14-Feb-14,38
105,195,135,15,1,77.77,4,not out,4,Test , New Zealand,Wellington,14-Feb-14,105
136,157,122,16,2,111.47,3,bowled,2,ODI , Bangladesh,Fatullah,26-Feb-14,136
48,66,51,4,1,94.11,3,bowled,1,ODI , Sri Lanka,Fatullah,28-Feb-14,48
5,29,11,0,0,45.45,3,caught,1,ODI , Pakistan,Mirpur,2-Mar-14,5
36,45,32,4,1,112.5,3,not out,2,T20I , Pakistan,Mirpur,21-Mar-14,36
54,51,41,5,1,131.7,3,bowled,2,T20I , West Indies,Mirpur,23-Mar-14,54
